ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1712879008.96654,Ceaede3XtRqOpKjK3e,10.30.222.137,42190,23.237.60.122,80,tcp,http,41.596642,676,9487,SF,T,F,0,ShADTadfF,21,3136,11,10067,-,6
1712879021.75189,CqErQN1emEo8w56dkc,10.30.222.137,35852,104.26.6.35,2082,tcp,http,28.892537,2898,3339,SF,T,F,0,ShADadFf,13,3582,11,3919,-,6
1712879116.49135,CZtJiq2hCar0gXu76k,10.30.222.137,48434,47.251.5.25,8742,tcp,http,17.727621,493,281,SF,T,F,0,ShADaFdft,4,709,9,1319,-,6
1712879116.62805,ChPZTnjZXb0pzNt24,10.30.222.137,48438,47.251.5.25,8742,tcp,http,18.13668,210,318,SF,T,F,0,ShADaFdft,4,426,9,1430,-,6
1712879123.58579,CJIcEF1OOt75l67aX4,10.30.222.137,48436,47.251.5.25,8742,tcp,http,18.766939,208,363,SF,T,F,0,ShADTaFdf,7,996,8,795,-,6
1712879111.94872,CxA2Lk3paPSr0hM8vj,10.30.222.137,35882,104.26.6.35,2082,tcp,http,33.911824,2898,3342,SF,T,F,0,ShADadFf,14,3634,12,3974,-,6
1712879084.81557,CT2cNv4ElhGvUjJwm7,10.30.222.137,41432,208.95.112.1,80,tcp,http,61.065143,216,542,SF,T,F,0,ShADadfF,11,796,4,758,-,6
1712879163.3254,CpoBAP1SsOZrxBHPYb,10.30.222.137,35928,104.26.6.35,2082,tcp,http,3.292983,2898,3342,SF,T,F,0,ShADadTFf,14,4367,12,3986,-,6
1712879171.89168,CK9aPG1mskhD0koe12,10.30.222.137,36046,103.82.219.45,80,tcp,http,70.203033,794,470,SF,T,F,0,ShADTadfF,14,3118,5,738,-,6
1712879225.11191,CPADap1GYEssCaGY62,10.30.222.137,45482,156.236.118.52,12371,tcp,http,17.263658,174,178,SF,T,F,0,ShADadFf,7,546,5,446,-,6
1712879229.28113,CMc1uL2hIAc241imqg,10.30.222.137,51062,128.1.248.178,12370,tcp,http,13.095202,173,178,SF,T,F,0,ShADadFf,6,493,4,394,-,6
1712879277.09011,CCFkSF69DQcIpsrra,10.30.222.137,53734,23.237.196.50,80,tcp,http,42.647271,619,520,SF,T,F,0,ShADadfF,12,1251,5,788,-,6
1712879292.09755,CvO6ag3m0E1qzoaWgj,10.30.222.137,38176,103.82.219.81,80,tcp,http,27.639923,613,296,SF,T,F,0,ShADadfF,12,1245,5,564,-,6
1712879283.64711,CSpjuR3VhtXvwrQHEc,10.30.222.137,36056,104.26.6.35,2082,tcp,http,36.164976,2898,3335,SF,T,F,0,ShADadFf,13,3582,11,3915,-,6
1712879332.04202,CAOUT22xzgVjWTuZn8,10.30.222.137,51540,180.188.25.45,80,tcp,http,6.66331,340,730,SF,T,F,0,ShADadfF,8,780,5,998,-,6
1712879336.89075,CAeB6I2xzUqqT5NS0a,10.30.222.137,48618,47.251.5.25,8742,tcp,http,20.772855,210,318,SF,T,F,0,ShADaFdft,5,486,9,1430,-,6
1712879402.48896,CITXA8404D5gXbOlF8,10.30.222.137,36122,104.26.6.35,2082,tcp,http,24.567641,2898,3342,SF,T,F,0,ShADadFf,14,3634,11,3922,-,6
1712879453.8089,CbdPHw172MsRWWBzqa,10.30.222.137,48674,47.251.5.25,8742,tcp,http,18.706016,493,281,SF,T,F,0,ShADaFdft,4,709,9,1319,-,6
1712879576.79965,Cc28NJ3Ivs8bJcqxt2,10.30.222.137,48740,47.251.5.25,8742,tcp,http,18.39424,208,363,SF,T,F,0,ShADaFdft,4,424,9,1565,-,6
1712879576.58049,Cvyg3g2NzVemyvjTR8,10.30.222.137,48736,47.251.5.25,8742,tcp,http,21.166173,296,282,SF,T,F,0,ShADTaFdf,6,920,7,654,-,6
1712879572.09026,CXXArg3sQOzcBQjcY8,10.30.222.137,36202,104.26.6.35,2082,tcp,http,56.690405,2898,3338,SF,T,F,0,ShADadFf,13,3582,11,3918,-,6
1712879665.01669,CC06eV2olFzS829Mk6,10.30.222.137,41826,208.95.112.1,80,tcp,http,11.588066,216,542,SF,T,F,0,ShADadfF,8,648,6,862,-,6
1712879672.80268,ClDELA27awiO3HlzE6,10.30.222.137,36278,104.26.6.35,2082,tcp,http,3.910892,2898,3353,SF,T,F,0,ShADadFf,14,3634,12,3985,-,6
1712879706.63008,CmYCih38K0Kwa3JH06,10.30.222.137,48818,47.251.5.25,8742,tcp,http,18.356991,296,282,SF,T,F,0,ShADaFdft,5,572,9,1322,-,6
1712879706.75794,CR8VQj4v7j9QoMNnLj,10.30.222.137,48820,47.251.5.25,8742,tcp,http,18.274304,493,281,SF,T,F,0,ShADTaFdf,7,1851,8,713,-,6
1712879806.75885,Cz69qe4UXKrerzDvHb,10.30.222.137,48878,47.251.5.25,8742,tcp,http,17.74787,493,281,SF,T,F,0,ShADaFdft,4,709,9,1319,-,6
1712879806.62367,Co7yX03Ma947YPiOA2,10.30.222.137,48876,47.251.5.25,8742,tcp,http,18.96197,296,282,SF,T,F,0,ShADaFdft,5,572,9,1322,-,6
1712879942.18125,CRAAL72bX4P0NykYXj,10.30.222.137,36442,104.26.6.35,2082,tcp,http,32.262886,2898,3344,SF,T,F,0,ShADadFf,13,3582,11,3924,-,6
1712879977.58903,CuozvlOZMhrLr4taj,10.30.222.137,49006,47.251.5.25,8742,tcp,http,19.2251,493,281,SF,T,F,0,ShADaFdfRR,13,1137,6,601,-,6
1712879984.57502,CL4kdC3HprJG3nftnc,10.30.222.137,36574,103.82.219.45,80,tcp,http,3.23967,700,454,S3,T,F,0,ShADadf,6,1020,5,722,-,6
1712880052.2528,CJ1I5b150f19uNAhhj,10.30.222.137,36524,104.26.6.35,2082,tcp,http,11.719558,2898,3339,SF,T,F,0,ShADadFf,14,3634,12,3971,-,6
1712880087.23399,CWa94R2SIZPjXvgTe6,10.30.222.137,49084,47.251.5.25,8742,tcp,http,19.709979,296,282,SF,T,F,0,ShADaFdft,5,572,9,1322,-,6
1712880087.57852,Cj0G8A4fN6Oj8xPTh,10.30.222.137,49090,47.251.5.25,8742,tcp,http,19.696987,210,318,SF,T,F,0,ShADTaFdfR,11,964,5,586,-,6
1712880087.40597,CHqP2aQaBUXJsINmb,10.30.222.137,49086,47.251.5.25,8742,tcp,http,20.118881,493,281,SF,T,F,0,ShADTaFdf,7,1851,8,713,-,6
1712880087.52621,CLSsFB1jO2C5vEKJsd,10.30.222.137,49088,47.251.5.25,8742,tcp,http,21.009789,208,363,SF,T,F,0,ShADaFdfRRt,16,992,9,1565,-,6
1712880162.26601,CkRX1J21iYn6i89U47,10.30.222.137,36594,104.26.6.35,2082,tcp,http,22.46475,2898,3340,SF,T,F,0,ShADadtFf,15,3710,13,4034,-,6
1712880196.70799,C742Aj2wf1Xn2ZrqF,10.30.222.137,49168,47.251.5.25,8742,tcp,http,19.012162,493,281,SF,T,F,0,ShADTaFdf,5,1254,7,653,-,6
1712880196.55663,C30CQt1aGwhcpn37Lh,10.30.222.137,49166,47.251.5.25,8742,tcp,http,21.17311,296,282,SF,T,F,0,ShADaFdft,6,632,9,1322,-,6
1712880295.93769,C9V0B13xxG2VCopoFc,10.30.222.137,54368,23.237.196.50,80,tcp,http,20.057874,615,520,SF,T,F,0,ShADTadfF,14,1982,5,788,-,6
1712880303.72459,CEBZmGqrElpXGMeF5,10.30.222.137,49216,47.251.5.25,8742,tcp,http,18.713714,296,282,SF,T,F,0,ShADTaFdf,5,860,7,654,-,6
1712880342.17098,CdOsF62YAEOzVsXujg,10.30.222.137,36710,104.26.6.35,2082,tcp,http,45.576233,2898,3344,SF,T,F,0,ShADadFf,13,3582,11,3924,-,6
1712880432.22448,CQH0Di4CgQbujgICWh,10.30.222.137,36754,104.26.6.35,2082,tcp,http,54.925383,2898,3340,SF,T,F,0,ShADadFf,13,3582,11,3920,-,6
1712880496.84134,C89EPW11eU286OYQqb,10.30.254.172,50814,41.175.223.8,80,tcp,http,2.11419,111,168,SF,T,F,0,ShADadfF,5,323,5,380,-,6
1712880507.63582,CB8LtH12NapLjctITh,10.30.254.172,50864,92.123.173.133,80,tcp,http,2.469181,213,4565,SF,T,F,0,ShADadfF,8,545,8,4897,-,6
1712880523.00123,CfsY3rV7Icyeb6Eak,10.30.254.172,50926,142.251.216.67,80,tcp,http,6.479112,2422,1694,SF,T,F,0,ShADTadfF,14,9820,7,1998,-,6
1712880523.83827,CpSrrw1caLkb2uLIPb,10.30.222.137,49344,47.251.5.25,8742,tcp,http,20.055456,296,282,SF,T,F,0,ShADTaFdf,7,1260,8,714,-,6
1712880557.35616,CqZ7mc15tUVqaFnuN1,10.30.254.172,50949,46.17.234.73,80,tcp,http,5.389818,313,5545,SF,T,F,0,ShADTadfF,11,1102,11,6021,-,6
1712880567.65817,CmZiCf2G1rRMACNOik,10.30.254.172,50989,34.107.221.82,80,tcp,http,3.510045,303,298,SF,T,F,0,ShADadfF,7,607,5,510,-,6
1712880577.20437,CQx0wB28DZngtgCOme,10.30.222.137,42406,208.95.112.1,80,tcp,http,23.217438,216,542,SF,T,F,0,ShADadfF,12,848,5,810,-,6
1712880584.30413,C0z9pM3t9lE8zhHhsg,10.30.222.137,36856,104.26.6.35,2082,tcp,http,16.452868,2898,3348,SF,T,F,0,ShADadFf,13,3582,11,3928,-,6
1712880639.499,CDSzcq1HmqAo1uIah8,10.30.222.137,49410,47.251.5.25,8742,tcp,http,18.794548,208,363,SF,T,F,0,ShADTaFdf,7,996,8,795,-,6
1712880667.90479,ChFysR5cBETV73JI4,10.30.222.137,36902,104.26.6.35,2082,tcp,http,10.564541,2898,3338,SF,T,F,0,ShADadFf,13,3582,11,3918,-,6
1712880709.61058,CptRXq3xCdAkCUpF6l,10.30.222.137,49460,47.251.5.25,8742,tcp,http,17.889198,493,281,SF,T,F,0,ShADaFdfRR,12,1077,6,601,-,6
1712880717.47241,Ck0RIsqVZJ2YgYCPc,10.30.222.137,49458,47.251.5.25,8742,tcp,http,18.733641,296,282,SF,T,F,0,ShADaFdft,4,512,9,1322,-,6
1712880736.54619,ChgUy73rSlZcmatEg9,10.30.222.137,54640,23.237.196.50,80,tcp,http,28.720086,611,520,SF,T,F,0,ShADTadfF,14,3180,4,736,-,6
1712880701.46197,C9H8uuwDsQtehUGaa,10.30.222.137,60004,103.82.219.84,80,tcp,http,63.804332,687,300,SF,T,F,0,ShADadfF,13,1379,5,568,-,6
1712880736.54653,CAa0eGiD86exkk7h2,10.30.222.137,37056,103.82.219.45,80,tcp,http,28.720125,698,454,SF,T,F,0,ShADTadfF,17,4382,6,782,-,6
1712880732.54555,CAEf7C1Ltm4QhTS9Eh,10.30.222.137,39084,103.82.219.81,80,tcp,http,32.721272,605,296,SF,T,F,0,ShADadfF,14,1357,5,564,-,6
1712880757.82396,CZEUBi3SziBQpCIluh,10.30.222.137,36972,104.26.6.35,2082,tcp,http,7.682469,2898,3342,SF,T,F,0,ShADadFf,13,3582,11,3922,-,6
1712880805.13114,Cxst7w29e6p0bIjue4,10.30.222.137,56154,8.219.89.234,80,tcp,http,4.730425,1754,6378,SF,T,F,0,ShADadfF,11,2334,10,6906,-,6
1712880812.58741,Cxkywu3FBrIUQyfRda,10.30.222.137,49574,47.251.5.25,8742,tcp,http,20.19309,208,363,SF,T,F,0,ShADTaFdf,7,996,8,795,-,6
1712880793.99122,CstQ3QDlk4bovXXZ4,10.30.222.137,43336,23.237.60.122,80,tcp,http,48.341506,678,322,SF,T,F,0,ShADadfF,12,1310,5,590,-,6
1712880809.63612,C8F3tSUwb7xKCs243,10.30.222.137,46510,156.236.118.52,12371,tcp,http,33.025896,174,178,SF,T,F,0,ShADadFf,8,598,6,498,-,6
1712880867.72231,CIasuN3uVvgLwyiAc8,10.30.222.137,37088,104.26.6.35,2082,tcp,http,16.436815,2898,3344,SF,T,F,0,ShADadFf,13,3582,11,3924,-,6
1712881002.3109,C3LRvM3DrKJfLmxi1,10.30.222.137,49704,47.251.5.25,8742,tcp,http,18.176822,210,318,SF,T,F,0,ShADaFdft,4,426,9,1430,-,6
1712880999.88086,ChCN6G4sfDeKqMfQ4h,10.30.222.137,42718,208.95.112.1,80,tcp,http,52.415779,216,542,SF,T,F,0,ShADTadfF,14,1600,4,758,-,6
1712880977.69361,CIAQXA1lyj3fzpBM0j,10.30.222.137,37148,104.26.6.35,2082,tcp,http,74.762751,2898,3348,SF,T,F,0,ShADadFf,13,3582,11,3928,-,6
